"source","target","type"
"veris-pr","passy","Following"
"veris-pr","matiasinsaurralde","Following"
"veris-pr","tony","Following"
"veris-pr","Lazin","Following"
"veris-pr","devypt","Following"
"veris-pr","FGRibreau","Following"
"veris-pr","Miserlou","Following"
"veris-pr","yageek","Following"
"veris-pr","syrusakbary","Following"
"veris-pr","ankane","Following"
"veris-pr","wesm","Following"
"veris-pr","DenisKolodin","Following"
"veris-pr","vladaionescu","Following"
"veris-pr","transitive-bullshit","Following"
"veris-pr","sidkshatriya","Following"
"veris-pr","tiangolo","Following"
"veris-pr","sachinruk","Following"
"veris-pr","messense","Following"
"veris-pr","pmuens","Following"
"veris-pr","matteofigus","Following"
"veris-pr","yoshuawuyts","Following"
"veris-pr","tqchen","Following"
"veris-pr","flrngel","Following"
"veris-pr","hindupuravinash","Following"
"veris-pr","stanzheng","Following"
"veris-pr","mbrukman","Following"
"veris-pr","palerdot","Following"
"veris-pr","peeyush-tm","Following"
"veris-pr","donnemartin","Following"
"veris-pr","skerkour","Following"
"veris-pr","auvipy","Following"
"veris-pr","nikitavoloboev","Following"
"veris-pr","nmrshll","Following"
"veris-pr","thundergolfer","Following"
"veris-pr","lk-geimfari","Following"
"veris-pr","jamesgeorge007","Following"
"lmaxwell","qinxuye","Following"
"lmaxwell","r9y9","Following"
"lmaxwell","tachi-hi","Following"
"lmaxwell","tqchen","Following"
"zhenpingfeng","fundon","Following"
"zhenpingfeng","RickWong","Following"
"zhenpingfeng","tianyicui","Following"
"zhenpingfeng","kittinan","Following"
"zhenpingfeng","miguelmota","Following"
"zhenpingfeng","bjin","Following"
"zhenpingfeng","codeb2cc","Following"
"zhenpingfeng","monadbobo","Following"
"zhenpingfeng","Igosuki","Following"
"zhenpingfeng","zhongwen","Following"
"zhenpingfeng","samyk","Following"
"zhenpingfeng","nfultz","Following"
"zhenpingfeng","ematvey","Following"
"zhenpingfeng","Atry","Following"
"zhenpingfeng","fritzo","Following"
"zhenpingfeng","ostera","Following"
"zhenpingfeng","Kaixhin","Following"
"zhenpingfeng","chxj1992","Following"
"zhenpingfeng","Cysu","Following"
"zhenpingfeng","r9y9","Following"
"zhenpingfeng","cedricporter","Following"
"zhenpingfeng","jheusser","Following"
"zhenpingfeng","zuyu","Following"
"zhenpingfeng","yoshuawuyts","Following"
"zhenpingfeng","tqchen","Following"
"zhenpingfeng","luoyetx","Following"
"zhenpingfeng","Netherdrake","Following"
"zhenpingfeng","terrytangyuan","Following"
"zhenpingfeng","wkentaro","Following"
"zhenpingfeng","philipperemy","Following"
"zhenpingfeng","chinakook","Following"
"zhenpingfeng","guitarmind","Following"
"zhenpingfeng","meetps","Following"
"zhenpingfeng","lidangzzz","Following"
"zhenpingfeng","ylxdzsw","Following"
"zhenpingfeng","ysh329","Following"
"zhenpingfeng","Hyperparticle","Following"
"zhenpingfeng","cometkim","Following"
"zhenpingfeng","ypwhs","Following"
"zhenpingfeng","Ning-Ding","Following"
"zhenpingfeng","zhd173","Following"
"zhenpingfeng","yutiansut","Following"
"zhenpingfeng","wwxFromTju","Following"
"zhenpingfeng","wondervictor","Following"
"zhenpingfeng","wolegechu","Following"
"zhenpingfeng","alexanderepstein","Following"
"zhenpingfeng","qqadssp","Following"
"zhenpingfeng","chenxinpeng","Following"
"esafak","znmeb","Following"
"esafak","Smerity","Following"
"esafak","dnouri","Following"
"esafak","robertsdionne","Following"
"esafak","ixaxaar","Following"
"esafak","vahidk","Following"
"esafak","jimfleming","Following"
"esafak","yassersouri","Following"
"esafak","nottombrown","Following"
"esafak","wesm","Following"
"esafak","zhongwen","Following"
"esafak","ematvey","Following"
"esafak","albietz","Following"
"esafak","twiecki","Following"
"esafak","ggsonic","Following"
"esafak","bamos","Following"
"esafak","ibab","Following"
"esafak","Kaixhin","Following"
"esafak","falcondai","Following"
"esafak","gokceneraslan","Following"
"esafak","dnlcrl","Following"
"esafak","r9y9","Following"
"esafak","shagunsodhani","Following"
"esafak","evhub","Following"
"esafak","yu-iskw","Following"
"esafak","danielfrg","Following"
"esafak","MechCoder","Following"
"esafak","airalcorn2","Following"
"esafak","rossant","Following"
"esafak","cosmoharrigan","Following"
"esafak","dustinvtran","Following"
"esafak","tqchen","Following"
"esafak","madisonmay","Following"
"esafak","svenkreiss","Following"
"esafak","giorgiop","Following"
"esafak","mttk","Following"
"esafak","hindupuravinash","Following"
"esafak","tomMoral","Following"
"esafak","temerick","Following"
"esafak","dclambert","Following"
"esafak","kailashahirwar","Following"
"esafak","inejc","Following"
"esafak","shashankg7","Following"
"esafak","terrytangyuan","Following"
"esafak","wkentaro","Following"
"esafak","philipperemy","Following"
"esafak","ramon-oliveira","Following"
"esafak","PrajitR","Following"
"esafak","jayanthkoushik","Following"
"esafak","claesenm","Following"
"esafak","tboquet","Following"
"esafak","oarriaga","Following"
"esafak","tigerneil","Following"
"esafak","ethancaballero","Following"
"esafak","codekansas","Following"
"esafak","meetps","Following"
"esafak","gabrieleangeletti","Following"
"esafak","mdeff","Following"
"esafak","pplonski","Following"
"esafak","Hyperparticle","Following"
"esafak","Avsecz","Following"
"esafak","AjayTalati","Following"
"esafak","100","Following"
"sumagic","tqchen","Following"
"sumagic","daohu527","Following"
"sumagic","halfrost","Following"
"sumagic","chhzh123","Following"
"4406arthur","cheyang","Following"
"4406arthur","draveness","Following"
"neophyt3","c4milo","Following"
"neophyt3","mcollina","Following"
"neophyt3","xyproto","Following"
"neophyt3","caarlos0","Following"
"neophyt3","caesar0301","Following"
"neophyt3","shagunsodhani","Following"
"neophyt3","donnemartin","Following"
"neophyt3","c-bata","Following"
"neophyt3","tejasmanohar","Following"
"neophyt3","goldsborough","Following"
"ryanpadilha","felipead","Following"
"T0mmyliu","lxyu","Following"
"T0mmyliu","spinlock","Following"
"T0mmyliu","siddontang","Following"
"T0mmyliu","hit9","Following"
"T0mmyliu","bryandeng","Following"
"T0mmyliu","tqchen","Following"
"T0mmyliu","shisoft","Following"
"T0mmyliu","gaocegege","Following"
"T0mmyliu","htfy96","Following"
"T0mmyliu","salamer","Following"
"ClaudiaJKang","sublee","Following"
"ClaudiaJKang","thedrow","Following"
"ClaudiaJKang","ik5","Following"
"ClaudiaJKang","batermj","Following"
"ClaudiaJKang","luismayta","Following"
"ClaudiaJKang","bt3gl","Following"
"ClaudiaJKang","tiangolo","Following"
"ClaudiaJKang","debianmaster","Following"
"ClaudiaJKang","toughrogrammer","Following"
"ClaudiaJKang","posquit0","Following"
"ClaudiaJKang","chenrui333","Following"
"ClaudiaJKang","joelhandwell","Following"
"ClaudiaJKang","Colstuwjx","Following"
"ClaudiaJKang","1ambda","Following"
"ClaudiaJKang","bskim45","Following"
"ClaudiaJKang","mingrammer","Following"
"ClaudiaJKang","gautamkrishnar","Following"
"ClaudiaJKang","codingbowoo","Following"
"ClaudiaJKang","DanielTimLee","Following"
"ClaudiaJKang","zzsza","Following"
"ClaudiaJKang","honggyukim","Following"
"ClaudiaJKang","gyunggyung","Following"
"ClaudiaJKang","Rebiss","Following"
"ClaudiaJKang","Zagoshipda","Following"
"ClaudiaJKang","romanofficial","Following"
"leonGravel","Atry","Following"
"leonGravel","code4craft","Following"
"leonGravel","lietoumai","Following"
"leonGravel","tuohai666","Following"
"leonGravel","peaceiris","Following"
"myhau","dkandalov","Following"
"myhau","fudini","Following"
"YuaNFrank","hellogxp","Following"
"superyc","chiphuyen","Following"
"lc0","goldsborough","Following"
"pmgautam","wesm","Following"
"crazymidnight","tiangolo","Following"
"qinjr","gaocegege","Following"
"qinjr","rudeigerc","Following"
"xunfeng1980","denverdino","Following"
"liov","Avik-Jain","Following"
"imxieshuang","Atry","Following"
"imxieshuang","angusshire","Following"
"protez","nacyot","Following"
"protez","sibelius","Following"
"protez","cedricfung","Following"
"Farteen","yingfeng","Following"
"Farteen","ZhangHanDong","Following"
"Farteen","miguelmota","Following"
"Farteen","fannheyward","Following"
"Farteen","soulmachine","Following"
"Farteen","ddliu","Following"
"Farteen","thonatos","Following"
"Farteen","qiangxue","Following"
"Farteen","oldratlee","Following"
"Farteen","siddontang","Following"
"Farteen","hustxiaoc","Following"
"Farteen","mssun","Following"
"Farteen","code4craft","Following"
"Farteen","digoal","Following"
"Farteen","overvenus","Following"
