"id","type","name","stargazers_count","avatar_url","description"
"tensorflow","Repository","tensorflow",158048,"https://avatars.githubusercontent.com/u/15658638?v=4","An Open Source Machine Learning Framework for Everyone"
"keras","Repository","keras",52080,"https://avatars.githubusercontent.com/u/34455048?v=4","Deep Learning for humans"
"graphscope","Repository","graphscope",971,"https://avatars.githubusercontent.com/u/56642198?v=4","GraphScope: A One-Stop Large-Scale Graph Computing System from Alibaba"
"numpy","Repository","numpy",17885,"https://avatars.githubusercontent.com/u/288276?v=4","The fundamental package for scientific computing with Python."
"neo4j","Repository","neo4j",9206,"https://avatars.githubusercontent.com/u/201120?v=4","Graphs for Everyone"
"mars","Repository","mars",2188,"https://avatars.githubusercontent.com/u/43056710?v=4","Mars is a tensor-based unified framework for large-scale data computation which scales numpy, pandas, scikit-learn and Python functions."
"tikv","Repository","tikv",9698,"https://avatars.githubusercontent.com/u/41004122?v=4","Distributed transactional key-value database, originally created to complement TiDB"
"arrow","Repository","arrow",8241,"https://avatars.githubusercontent.com/u/47359?v=4","Apache Arrow is a multi-language toolbox for accelerated data interchange and in-memory processing"
"v6d","Repository","v6d",513,"https://avatars.githubusercontent.com/u/83062528?v=4","vineyard (v6d): an in-memory immutable data manager. (Project under CNCF)"
"fluid","Repository","fluid",635,"https://avatars.githubusercontent.com/u/68415741?v=4","Fluid, elastic data abstraction and acceleration for BigData/AI applications in cloud. (Project under CNCF)"
"etcd","Repository","etcd",36839,"https://avatars.githubusercontent.com/u/41972792?v=4","Distributed reliable key-value store for the most critical data of a distributed system"
"mysql","Repository","mysql",6782,"https://avatars.githubusercontent.com/u/2452804?v=4","MySQL Server, the world's most popular open source database, and MySQL Cluster, a real-time, open source transactional database."
"pytorch","Repository","pytorch",50009,"https://avatars.githubusercontent.com/u/21003710?v=4","Tensors and Dynamic neural networks in Python with strong GPU acceleration"
"kubernetes","Repository","kubernetes",79754,"https://avatars.githubusercontent.com/u/13629408?v=4","Production-Grade Container Scheduling and Management"
"pandas","Repository","pandas",30638,"https://avatars.githubusercontent.com/u/21206976?v=4","Flexible and powerful data analysis / manipulation library for Python, providing labeled data structures similar to R data.frame objects, statistical functions, and much more"
