"source","target","type"
"petro-rudenko","tensorflow","Starred"
"petro-rudenko","keras","Starred"
"petro-rudenko","numpy","Starred"
"petro-rudenko","neo4j","Starred"
"petro-rudenko","mars","Starred"
"petro-rudenko","tikv","Starred"
"petro-rudenko","arrow","Starred"
"petro-rudenko","etcd","Starred"
"petro-rudenko","pytorch","Starred"
"petro-rudenko","kubernetes","Starred"
"petro-rudenko","pandas","Starred"
"bryandeng","tensorflow","Starred"
"bryandeng","numpy","Starred"
"bryandeng","pytorch","Starred"
"bryandeng","kubernetes","Starred"
"bryandeng","pandas","Starred"
"Kaixhin","tensorflow","Starred"
"Kaixhin","numpy","Starred"
"Kaixhin","etcd","Starred"
"Kaixhin","pytorch","Starred"
"ice-melon","tensorflow","Starred"
"ice-melon","keras","Starred"
"ice-melon","numpy","Starred"
"ice-melon","etcd","Starred"
"ice-melon","pytorch","Starred"
"ice-melon","kubernetes","Starred"
"timgluz","tensorflow","Starred"
"timgluz","tikv","Starred"
"timgluz","arrow","Starred"
"timgluz","etcd","Starred"
"timgluz","kubernetes","Starred"
"timgluz","pandas","Starred"
"duguyue100","tensorflow","Starred"
"duguyue100","keras","Starred"
"duguyue100","numpy","Starred"
"duguyue100","pytorch","Starred"
"duguyue100","pandas","Starred"
"visionnet","tensorflow","Starred"
"visionnet","keras","Starred"
"visionnet","pytorch","Starred"
"visionnet","kubernetes","Starred"
"bigwhite","tensorflow","Starred"
"bigwhite","keras","Starred"
"bigwhite","numpy","Starred"
"bigwhite","arrow","Starred"
"bigwhite","v6d","Starred"
"bigwhite","etcd","Starred"
"bigwhite","pytorch","Starred"
"bigwhite","kubernetes","Starred"
"shovon","tensorflow","Starred"
"shovon","tikv","Starred"
"shovon","arrow","Starred"
"shovon","kubernetes","Starred"
"shovon","pandas","Starred"
"mitake","tensorflow","Starred"
"mitake","tikv","Starred"
"mitake","etcd","Starred"
"mitake","kubernetes","Starred"
"yupbank","tensorflow","Starred"
"yupbank","keras","Starred"
"yupbank","pytorch","Starred"
"yupbank","kubernetes","Starred"
"podshumok","tensorflow","Starred"
"podshumok","keras","Starred"
"podshumok","pytorch","Starred"
"podshumok","pandas","Starred"
"jmargeta","tensorflow","Starred"
"jmargeta","keras","Starred"
"jmargeta","numpy","Starred"
"jmargeta","mars","Starred"
"jmargeta","arrow","Starred"
"jmargeta","pytorch","Starred"
"jmargeta","kubernetes","Starred"
"jmargeta","pandas","Starred"
"xgdgsc","tensorflow","Starred"
"xgdgsc","keras","Starred"
"xgdgsc","neo4j","Starred"
"xgdgsc","arrow","Starred"
"xgdgsc","etcd","Starred"
"xgdgsc","pytorch","Starred"
"xgdgsc","kubernetes","Starred"
"xgdgsc","pandas","Starred"
"pgplus1628","tensorflow","Starred"
"pgplus1628","keras","Starred"
"pgplus1628","arrow","Starred"
"pgplus1628","etcd","Starred"
"pgplus1628","pytorch","Starred"
"pgplus1628","kubernetes","Starred"
"davidgasquez","tensorflow","Starred"
"davidgasquez","keras","Starred"
"davidgasquez","arrow","Starred"
"davidgasquez","kubernetes","Starred"
"w1kke","tensorflow","Starred"
"w1kke","keras","Starred"
"w1kke","arrow","Starred"
"w1kke","etcd","Starred"
"w1kke","pandas","Starred"
"timothyklim","tensorflow","Starred"
"timothyklim","keras","Starred"
"timothyklim","graphscope","Starred"
"timothyklim","tikv","Starred"
"timothyklim","arrow","Starred"
"timothyklim","v6d","Starred"
"timothyklim","pytorch","Starred"
"hnq90","tensorflow","Starred"
"hnq90","keras","Starred"
"hnq90","arrow","Starred"
"hnq90","etcd","Starred"
"hnq90","mysql","Starred"
"hnq90","pytorch","Starred"
"hnq90","kubernetes","Starred"
"hnq90","pandas","Starred"
"dnouri","tensorflow","Starred"
"dnouri","keras","Starred"
"dnouri","pytorch","Starred"
"dnouri","kubernetes","Starred"
"thomasdarimont","tensorflow","Starred"
"thomasdarimont","arrow","Starred"
"thomasdarimont","etcd","Starred"
"thomasdarimont","kubernetes","Starred"
"AlexanderFabisch","tensorflow","Starred"
"AlexanderFabisch","keras","Starred"
"AlexanderFabisch","numpy","Starred"
"AlexanderFabisch","pytorch","Starred"
"pelick","tensorflow","Starred"
"pelick","neo4j","Starred"
"pelick","tikv","Starred"
"pelick","arrow","Starred"
"pelick","etcd","Starred"
"pelick","mysql","Starred"
"pelick","kubernetes","Starred"
"chuan92","tensorflow","Starred"
"chuan92","keras","Starred"
"chuan92","numpy","Starred"
"chuan92","pytorch","Starred"
"chuan92","pandas","Starred"
"thedrow","tensorflow","Starred"
"thedrow","keras","Starred"
"thedrow","numpy","Starred"
"thedrow","tikv","Starred"
"thedrow","arrow","Starred"
"thedrow","etcd","Starred"
"thedrow","mysql","Starred"
"thedrow","pytorch","Starred"
"thedrow","kubernetes","Starred"
"thedrow","pandas","Starred"
"swayson","tensorflow","Starred"
"swayson","keras","Starred"
"swayson","numpy","Starred"
"swayson","pytorch","Starred"
"cameronjacobson","tensorflow","Starred"
"cameronjacobson","keras","Starred"
"cameronjacobson","etcd","Starred"
"cameronjacobson","kubernetes","Starred"
"criloz","tensorflow","Starred"
"criloz","keras","Starred"
"criloz","tikv","Starred"
"criloz","kubernetes","Starred"
"r9y9","tensorflow","Starred"
"r9y9","keras","Starred"
"r9y9","numpy","Starred"
"r9y9","pytorch","Starred"
"r9y9","pandas","Starred"
"xennygrimmato","tensorflow","Starred"
"xennygrimmato","etcd","Starred"
"xennygrimmato","pytorch","Starred"
"xennygrimmato","kubernetes","Starred"
"xennygrimmato","pandas","Starred"
"abduld","tensorflow","Starred"
"abduld","keras","Starred"
"abduld","numpy","Starred"
"abduld","arrow","Starred"
"abduld","etcd","Starred"
"abduld","pytorch","Starred"
"abduld","kubernetes","Starred"
"abduld","pandas","Starred"
"myui","tensorflow","Starred"
"myui","keras","Starred"
"myui","numpy","Starred"
"myui","arrow","Starred"
"myui","etcd","Starred"
"myui","pytorch","Starred"
"myui","kubernetes","Starred"
"myui","pandas","Starred"
"liangkai","tensorflow","Starred"
"liangkai","keras","Starred"
"liangkai","neo4j","Starred"
"liangkai","pytorch","Starred"
"liangkai","kubernetes","Starred"
"shijinkui","tensorflow","Starred"
"shijinkui","neo4j","Starred"
"shijinkui","arrow","Starred"
