id|algorithm
0|PageRank
1|Personalized PageRank
2|Degree Centrality
3|Betweenness Centrality
4|Closeness Centrality
5|Local Clustering Coefficient
6|Louvain
7|Label Propagation
8|Minimum Cut/Max Flow
9|Connected Components
10|Cosine Similarity
11|Jaccard Similarity
12|SimRank
13|K-Core Decomposition
14|K-Truss
15|K-Clique
16|K-ECC
17|Triangle Counting
18|Subgraph Matching
19|BFS
20|DFS
21|Topological Sort
22|Single Source Shortest Path
23|Minimum Spanning Tree
24|Cycle Detection
25|Maximum Independent Set
26|Color
