id|conference|CCF Rank|CCF field|year|paper
0|Information Sciences|B|数据库/数据挖掘/内容检索|2022|Distributed PageRank computation with improved round complexities.
1|ICASSP|B|计算机图形学与多媒体|2021|Provably Fast Asynchronous And Distributed Algorithms For Pagerank Centrality Computation.
2|ICML|A|人工智能|2020|Improved Communication Cost in Distributed PageRank computation - A Theoretical Study.
3|AAAI|A|人工智能|2019|Distributed PageRank computation: An Improved Theoretical Study.
4|TCS|B|计算机科学理论|2015|Fast Distributed PageRank computation.
5|USENIX ATC|A|计算机体系结构/并行与分布计算/存储系统|2018|Accelerating PageRank using Partition-Centric Processing
6|COMAD|A|计算机体系结构/并行与分布计算/存储系统|2014|Subgraph Rank: PageRank for Subgraph-Centric Distributed Graph Processing
7|KAIS|B|数据库/数据挖掘/内容检索|2019|PPR-partitioning: a Distributed graph partitioning algorithm based on the personalized PageRank vectors in vertex-centric systems.
8|WWW|A|交叉/综合/新兴|2019|Distributed Algorithms for Fully Personalized PageRank in Large Graphs.
9|SIGMOD|A|数据库/数据挖掘/内容检索|2017|Distributed Algorithms on Exact Personalized PageRank.
10|INFOCOM|A|计算机网络|2020|Simple and Fast Distributed Computation of Betweenness Centrality.
11|PPoPP|A|计算机体系结构/并行与分布计算/存储系统|2019|A round-efficient Distributed betweenness Centrality algorithm.
12|TPDS|A|计算机体系结构/并行与分布计算/存储系统|2018|Parallel Algorithm for Incremental Betweenness Centrality in Large Graphs.
13|TCS|B|计算机科学理论|2017|On the distribution of betweenness centrality in random trees.
14|ICDCS|B|计算机体系结构/并行与分布计算/存储系统|2017|Distributively Computing Random Walk Betweenness Centrality in Linear Time.
15|ICDCS|B|计算机体系结构/并行与分布计算/存储系统|2016|Nearly Optimal Distributed Algorithm for Computing Betweenness Centrality.
16|CN|B|计算机网络|2013|DACCER:Distributed Assessment of the Closeness Centrality Ranking in complex networks.
17|CLUSTER|B|计算机体系结构/并行与分布计算/存储系统|2013|STREAMER: A Distributed framework for incremental closeness centrality computation.
18|TJSC|C|计算机体系结构/并行与分布计算/存储系统|2022|Scalable distributed Louvain algorithm for community detection in large graphs
19|IPDPS|B|计算机体系结构/并行与分布计算/存储系统|2018|Distributed Louvain Algorithm for Graph Community Detection
20|DASC|/|/|2018|Parallelizing Louvain Algorithm: Distributed Memory Challenges
21|CLUSTER|B|计算机体系结构/并行与分布计算/存储系统|2018|A Scalable Distributed Louvain Algorithm for Large-scale Graph Community Detection
22|HPEC|/|/|2019|Distributed Direction-Optimizing Label Propagation for Community Detection
23|Concurrency and Computation|C|计算机体系结构/并行与分布计算/存储系统|2019|Parallel and distributed core label propagation with graph coloring
24|TC|A|计算机体系结构/并行与分布计算/存储系统|2022|Distributed Detection of Minimum Cuts in Wireless Multi-Hop Networks
25|JNCA|C|计算机网络|2019|A Distributed Evolutionary algorithm for detecting minimum vertex cuts for wireless ad hoc and sensor networks
26|DISC|/|/|2013| Distributed Minimum Cut Approximation
27|IPDPS|B|计算机体系结构/并行与分布计算/存储系统|2020|Communication-Efficient Jaccard similarity for High-Performance Distributed Genome Comparisons
28|VLDBJ|A|数据库/数据挖掘/内容检索|2020|DISK: A Distributed Framework for Single-Source SimRank with Accuracy Guarantee
29|VLDB|A|数据库/数据挖掘/内容检索|2022|Distributed D-core Decomposition over Large Directed Graphs
30|JPDC|B|计算机体系结构/并行与分布计算/存储系统|2021|Distributed approximate k-core decomposition and min-max edge orientation: Breaking the diameter barrier
31|BigData|C|交叉/综合/新兴|2017|A distributed k-core decomposition algorithm on spark
32|TPDS|A|计算机体系结构/并行与分布计算/存储系统|2013|Distributed k-Core Decomposition
33|TPDS|A|计算机体系结构/并行与分布计算/存储系统|2022|Efficient Distributed Approaches to Core Maintenance on Large Dynamic Graphs
34|BigData|C|交叉/综合/新兴|2014|Distributed algorithms for k-truss decomposition
35|TC|A|计算机体系结构/并行与分布计算/存储系统|2023|Exploring Truss Maintenance in Fully Dynamic Graphs: A Mixed Structure-Based Approach
36|IS|B|信息系统|2019|KTMiner: Distributed k-truss detection in big graphs
37|SIGMOD|A|数据库/数据挖掘/内容检索|2014|Efficient Cohesive Subgraphs Detection in Parallel
38|PODC|B|计算机体系结构/并行与分布计算/存储系统|2022|Deterministic Near-Optimal Distributed Listing of Cliques
39|TKDE|A|数据库/数据挖掘/内容检索|2021|Efficient Distributed k-Clique Mining for Large Networks Using MapReduce
40|SODA|A|计算机科学理论|2021|Tight Distributed Listing of Cliques
41|PODC|B|计算机体系结构/并行与分布计算/存储系统|2020|On Distributed Listing of Cliques
42|ICALP|B|计算机科学理论|2019|Distributed Detection of Cliques in Dynamic Networks
43|SEKE|C|软件工程/系统软件/程序设计语言|2018|A Formal Approach for Distributed Computing of Maximal Cliques in Dynamic Networks
44|TSC|A|软件工程/系统软件/程序设计语言|2016|Distributed Maximal Clique Computation and Management
45|IJUFKS|C|人工智能|2015|Finding Maximum Clique in Stochastic Graphs Using Distributed Learning Automata
46|MSN|C|计算机网络|2015|Distributed Algorithms for Maximum Clique in Wireless Networks
47|ICPP|B|计算机体系结构/并行与分布计算/存储系统|2015|PDTL: Parallel and Distributed triangle listing for Massive Graphs.
48|TC|A|计算机体系结构/并行与分布计算/存储系统|2022|Svelto: High-Level Synthesis of Multi-Threaded Accelerators for Graph Analytics
49|SC|A|计算机体系结构/并行与分布计算/存储系统|2021|TriPoll: Computing Surveys of Triangles in Massive-Scale Temporal Graphs with Metadata
50|TPDS|A|计算机体系结构/并行与分布计算/存储系统|2020|TRUST: Triangle Counting Reloaded on GPUs
51|TPDS|A|计算机体系结构/并行与分布计算/存储系统|2022|A Block-Based Triangle Counting Algorithm on Heterogeneous Environments
52|VLDBJ|A|数据库/数据挖掘/内容检索|2022|G-thinker: a general distributed framework for finding qualified subgraphs in a big graph with load balancing
53|VLDBJ|A|数据库/数据挖掘/内容检索|2017|Path-based holistic detection plan for multiple patterns in distributed graph frameworks
54|VLDBJ|A|数据库/数据挖掘/内容检索|2016|Efficient distributed subgraph similarity matching
55|ICDE|A|数据库/数据挖掘/内容检索|2019|BENU: Distributed Subgraph Enumeration with Backtracking-Based Framework
56|ICDE|A|数据库/数据挖掘/内容检索|2019|Improving Distributed Subgraph Matching Algorithm on Timely Dataflow
57|EuroSys|A|计算机体系结构/并行与分布计算/存储系统|2018|G-Miner: an efficient task-oriented graph mining system
58|JPDC|B|计算机体系结构/并行与分布计算/存储系统|2018|Exploiting social network graph characteristics for efficient BFS on heterogeneous chips
59|JPDC|B|计算机体系结构/并行与分布计算/存储系统|2016|Silent self-stabilizing BFS tree algorithms revisited
60|JPDC|B|计算机体系结构/并行与分布计算/存储系统|2015|Solutions to the st-connectivity problem using a GPU-based_istributed BFS.
61|TPDS|A|计算机体系结构/并行与分布计算/存储系统|2015|BFS-4K: An Efficient Implementation of BFS for Kepler GPU Architectures.
62|TOS|A|计算机体系结构/并行与分布计算/存储系统|2020|TH-DPMS: Design and Implementation of an RDMA-enabled Distributed Persistent Memory Storage System
63|PPoPP|A|计算机体系结构/并行与分布计算/存储系统|2022|Scaling Graph Traversal to 281 Trillion Edges with 40 Million Cores
64|DC|C|计算机体系结构/并行与分布计算/存储系统|2022|Single-source shortest paths in the CONGEST model with improved bounds
65|SODA|A|计算机科学理论|2022|Universally-Optimal Distributed Shortest Paths and Transshipment via Graph-Based {\(\mathscr{l}\)}\({}_{\mbox{1}}\)-Oblivious Routing
66|STOC|A|计算机科学理论|2022|Undirected (1+\emph{{\(\epsilon\)}})-shortest paths via minor-aggregates: near-optimal deterministic parallel and distributed algorithms
67|SICOMP|A|计算机科学理论|2021|Near-Optimal Approximate Shortest Paths and Transshipment in Distributed and Streaming Models
68|SICOMP|A|计算机科学理论|2021|A Deterministic Almost-Tight Distributed Algorithm for Approximating Single-Source Shortest Paths
69|PODC|B|计算机体系结构/并行与分布计算/存储系统|2021|Brief Announcement: An Improved Distributed Approximate Single Source Shortest Paths Algorithm
70|JACM|A|交叉/综合/新兴|2020|Distributed Exact Shortest Paths in Sublinear Time
71|FOCS|A|计算机科学理论 |2018|A Faster Distributed Single-Source Shortest Paths Algorithm
72|PPoPP|A|计算机体系结构/并行与分布计算/存储系统 |2016|DSMR: a shared and distributed memory algorithm for single-source shortest path problem
73|SC|A|计算机体系结构/并行与分布计算/存储系统 |2022|Scaling Graph 500 SSSP to 140 Trillion Edges with over 40 Million Cores
74|SIGMOD|A|数据库/数据挖掘/内容检索|2020|Distributed Processing of k Shortest Path Queries over Dynamic Road Networks
75|TKDE|A|数据库/数据挖掘/内容检索|2022|Distributed Multimodal Path Queries
76|TPDS|A|计算机体系结构/并行与分布计算/存储系统 |2017|Scalable Single Source Shortest Path Algorithms for Massively Parallel Systems
