start|end
0|4
0|8
0|9
0|3
2|4
2|9
2|3
3|4
7|9
8|9
8|4
10|15
11|14
11|15
14|15
14|97
14|4
18|20
30|3
33|36
33|35
34|36
35|36
39|36
40|39
40|41
42|44
42|45
44|4
81|88
81|85
82|84
82|88
82|87
83|84
83|81
83|88
83|85
84|87
84|88
84|85
85|87
86|84
86|87
86|88
88|87
88|97
88|85
88|100
91|87
91|88
92|94
94|87
94|88
94|91
99|87
99|100
100|85
102|44
102|45
119|117
37|43
37|36
37|35
37|34
37|33
30|29
30|32
31|0
31|32
31|29
31|30
32|29
51|50
52|26
52|60
52|53
52|50
54|60
54|50
54|53
55|58
56|60
56|52
57|44
57|45
57|58
57|55
57|87
57|88
58|87
58|88
61|60
61|53
61|67
61|50
61|70
63|68
69|68
69|63
69|67
69|70
69|64
64|68
64|67
67|68
71|74
71|70
71|53
72|70
73|70
74|70
110|117
111|110
120|117
