start|end
0|0
1|8
2|3
3|3
4|2
5|1
6|1
7|0
8|4
9|0
10|5
11|1
12|1
13|2
14|1
15|1
16|5
17|1
18|1
19|1
21|1
23|1
26|4
27|1
29|0
30|0
32|0
33|0
34|1
35|4
36|1
37|0
38|1
39|4
40|6
41|0
42|1
43|0
44|2
45|1
46|2
47|7
49|1
50|1
51|1
52|1
54|1
55|1
57|4
58|2
59|0
61|1
62|1
63|0
64|0
65|1
66|0
67|1
68|0
69|0
70|7
71|1
72|1
73|1
74|0
75|1
76|1
77|1
78|1
79|1
80|1
81|1
82|2
83|2
84|2
85|2
86|1
87|4
88|2
89|1
90|1
91|0
92|0
93|1
94|0
95|1
96|1
97|2
98|1
99|1
100|2
101|1
102|2
103|1
104|3
105|1
106|0
107|1
108|1
109|1
112|1
114|1
115|9
116|4
117|2
118|0
119|0
120|2
122|1
