start|end
47|0
44|0
72|0
76|0
77|0
8|0
74|0
50|0
38|0
61|1
93|1
62|1
78|1
48|1
73|2
32|3
34|3
19|3
39|3
30|3
63|3
29|3
32|4
37|4
5|4
76|5
49|5
101|6
77|6
69|6
38|6
90|6
77|7
69|7
73|7
32|8
34|8
19|4
21|4
39|8
29|8
33|8
58|9
8|9
1|9
83|9
49|9
42|10
41|10
2|11
0|15
0|13
1|3
3|13
4|13
6|4
7|14
9|4
10|14
11|13
12|14
13|14
14|14
15|15
16|14
17|14
18|4
18|0
20|4
21|0
22|5
23|14
24|3
25|14
26|13
27|13
28|14
31|14
35|3
36|0
40|3
43|14
45|14
46|14
51|4
51|0
52|4
52|1
53|3
54|0
54|13
55|13
56|14
57|4
59|14
59|13
60|13
60|14
64|13
65|13
66|13
67|13
68|7
70|15
71|14
75|14
79|14
81|13
82|13
84|13
85|13
85|14
87|13
88|13
89|14
91|4
92|13
94|13
95|3
96|13
97|13
98|13
99|15
100|13
101|13
