start|end
0|0
1|0
2|0
3|0
4|0
5|0
6|0
7|1
8|1
9|1
10|3
11|3
12|3
13|3
14|3
15|3
16|4
17|4
18|6
19|6
20|6
21|6
22|7
23|7
24|8
25|8
26|8
27|11
28|12
29|13
30|13
31|13
32|13
33|13
34|14
35|14
36|14
37|14
38|15
39|15
40|15
41|15
42|15
43|15
44|15
45|15
46|15
47|17
48|17
49|17
50|17
51|17
52|18
53|18
54|18
55|18
56|18
57|18
58|19
59|19
60|19
61|19
62|19
63|19
64|22
65|22
66|22
67|22
68|22
69|22
70|22
71|22
72|22
73|22
74|22
75|22
76|22
77|22
78|22
79|8
80|8
81|8
82|23
83|23
84|23
85|23
86|23
87|24
88|24
89|9
90|9
91|9
92|9
93|9
94|25
95|26
96|26
97|26
98|26
99|26
100|26
101|19
