start|end
0|0
1|0
2|0
3|0
4|0
5|0
6|0
7|1
8|1
9|1
10|2
11|2
12|2
13|2
14|2
15|2
16|3
17|3
18|4
19|4
20|4
21|4
22|5
23|5
24|5
25|5
26|8
27|7
28|7
29|9
30|9
31|9
32|9
33|10
34|10
35|10
36|10
37|10
38|10
39|11
40|11
41|11
42|19
43|19
44|19
45|19
46|19
47|12
48|12
49|12
50|18
51|18
52|18
53|18
54|18
55|18
56|18
57|18
58|18
59|18
60|18
61|18
62|18
63|20
64|20
65|20
66|20
67|20
68|20
69|20
70|21
71|21
72|21
73|21
74|21
75|13
76|13
77|13
78|13
79|13
80|13
81|14
82|14
83|14
84|14
85|14
86|14
87|14
88|14
89|14
90|14
91|14
92|14
93|14
94|14
95|14
96|17
97|17
98|15
99|15
100|15
101|15
102|16
103|16
104|6
105|6
106|6
107|6
108|6
109|23
110|23
111|23
112|23
113|22
114|22
115|22
116|22
117|24
118|24
119|24
120|24
121|24
122|24
