start|end
1|0
2|0
3|0
4|0
8|0
1|9
2|9
3|9
4|9
1|10
2|10
3|10
4|10
1|11
12|11
13|11
16|15
17|15
18|15
19|15
20|15
21|15
22|15
23|15
24|15
25|15
26|15
28|15
16|29
30|29
31|29
32|29
33|29
34|29
16|37
22|37
38|37
39|37
40|37
41|37
42|37
43|37
44|37
49|46
47|46
40|46
48|46
50|46
20|46
51|46
17|52
53|52
54|52
22|52
60|56
22|56
57|56
58|56
59|56
63|62
64|62
58|62
65|62
71|67
34|67
54|67
68|67
69|67
70|67
71|73
34|73
74|73
75|73
76|73
77|73
71|78
34|78
80|78
82|81
34|81
83|81
84|81
71|85
86|85
12|85
1|87
88|87
89|87
90|87
51|92
93|92
94|92
70|92
60|95
80|95
89|95
98|97
99|97
89|97
1|100
101|100
102|100
103|100
71|105
4|105
106|105
107|105
71|111
112|111
113|111
114|111
4|116
117|116
118|116
119|116
120|116
122|121
123|121
124|121
125|121
126|121
127|121
120|121
127|128
129|128
64|128
120|128
71|130
131|130
132|130
42|130
65|130
133|130
134|130
135|130
138|137
139|137
19|137
140|137
133|137
17|141
142|141
24|141
143|141
71|144
19|144
145|144
146|144
134|144
146|147
53|147
94|147
148|147
71|150
53|150
17|152
142|152
17|154
155|154
1|154
60|157
140|157
71|159
160|159
148|159
71|161
71|162
164|162
165|162
77|162
163|162
146|162
