id|born|name
1|1964|Keanu Reeves
2|1967|Carrie-Anne Moss
3|1961|Laurence Fishburne
4|1960|Hugo Weaving
5|1967|Lilly Wachowski
6|1965|Lana Wachowski
7|1952|Joel Silver
8|1978|Emil Eifrem
12|1975|Charlize Theron
13|1940|Al Pacino
14|1944|Taylor Hackford
16|1962|Tom Cruise
17|1937|Jack Nicholson
18|1962|Demi Moore
19|1958|Kevin Bacon
20|1966|Kiefer Sutherland
21|1971|Noah Wyle
22|1968|Cuba Gooding Jr.
23|1957|Kevin Pollak
24|1943|J.T. Walsh
25|1967|James Marshall
26|1948|Christopher Guest
27|1947|Rob Reiner
28|1961|Aaron Sorkin
30|1957|Kelly McGillis
31|1959|Val Kilmer
32|1962|Anthony Edwards
33|1933|Tom Skerritt
34|1961|Meg Ryan
35|1944|Tony Scott
36|1941|Jim Cash
38|1969|Renee Zellweger
39|1962|Kelly Preston
40|1974|Jerry O'Connell
41|1970|Jay Mohr
42|1961|Bonnie Hunt
43|1971|Regina King
44|1996|Jonathan Lipnicki
45|1957|Cameron Crowe
47|1970|River Phoenix
48|1971|Corey Feldman
49|1972|Wil Wheaton
50|1966|John Cusack
51|1942|Marshall Bell
53|1963|Helen Hunt
54|1963|Greg Kinnear
55|1940|James L. Brooks
57|1960|Annabella Sciorra
58|1929|Max von Sydow
59|1942|Werner Herzog
60|1951|Robin Williams
61|1956|Vincent Ward
63|1970|Ethan Hawke
64|1971|Rick Yune
65|1940|James Cromwell
66|1953|Scott Hicks
68|1968|Parker Posey
69|1973|Dave Chappelle
70|1967|Steve Zahn
71|1956|Tom Hanks
72|1941|Nora Ephron
74|1956|Rita Wilson
75|1953|Bill Pullman
76|1949|Victor Garber
77|1962|Rosie O'Donnell
79|1950|John Patrick Stanley
80|1956|Nathan Lane
82|1948|Billy Crystal
83|1956|Carrie Fisher
84|1949|Bruno Kirby
86|1977|Liv Tyler
88|1970|Brooke Langton
89|1930|Gene Hackman
90|1968|Orlando Jones
91|1950|Howard Deutch
93|1974|Christian Bale
94|1954|Zach Grenier
96|1931|Mike Nichols
98|1930|Richard Harris
99|1930|Clint Eastwood
101|1947|Takeshi Kitano
102|1968|Dina Meyer
103|1958|Ice-T
104|1953|Robert Longo
106|1966|Halle Berry
107|1949|Jim Broadbent
108|1965|Tom Tykwer
109|1969|David Mitchell
110|1961|Stefan Arndt
112|1939|Ian McKellen
113|1976|Audrey Tautou
114|1971|Paul Bettany
115|1954|Ron Howard
117|1981|Natalie Portman
118|1946|Stephen Rea
119|1940|John Hurt
120|1967|Ben Miles
122|1985|Emile Hirsch
123|1960|John Goodman
124|1946|Susan Sarandon
125|1966|Matthew Fox
126|1980|Christina Ricci
127|1982|Rain
129|2003|Naomie Harris
131|1957|Michael Clarke Duncan
132|1953|David Morse
133|1968|Sam Rockwell
134|1955|Gary Sinise
135|1959|Patricia Clarkson
136|1959|Frank Darabont
138|1938|Frank Langella
139|1969|Michael Sheen
140|1960|Oliver Platt
142|1944|Danny DeVito
143|1965|John C. Reilly
145|1950|Ed Harris
146|1955|Bill Paxton
148|1967|Philip Seymour Hoffman
149|1943|Jan de Bont
151|1951|Robert Zemeckis
153|1932|Milos Forman
155|1946|Diane Keaton
156|1949|Nancy Meyers
158|1958|Chris Columbus
160|1967|Julia Roberts
163|1954|Madonna
164|1956|Geena Davis
165|1963|Lori Petty
166|1943|Penny Marshall
167|2003|Paul Blythe
