start|end|rating|summary
169|105|95|An amazing journey
171|105|100|A perfect movie
173|105|90|Unforgettable
169|87|65|Silly, but fun
170|87|100|The coolest football movie ever
168|87|62|Pretty funny at times
169|97|85|Dark, but compelling
169|95|45|Slapstick redeemed only by the Robin Williams and Gene Hackman's stellar performances
169|111|68|A solid romp
170|111|65|Fun, but a little far fetched
172|111|60|Just too popcorn
169|37|92|You had me at Jerry
174|37|90|Gonna watch again
170|116|60|The borderline
172|116|61|A little confused
174|116|68|Good, but can do better
