source|target
0371c4b7-c22e-5ee1-8a84-8ad51283e21b|52fb65a3-7784-5619-a706-d81a22fde108
a952998a-f358-5070-a0fd-118112b60df3|67cb5a7a-360c-521a-ace8-eefe0f4b9b0e
27f67358-83be-5303-b8bb-d1061e1c8d7a|9decf71d-ff1f-5bc4-b7af-b68a66db7f30
f7fdccef-9e9c-58ac-9ee1-e0204907cefd|52fb65a3-7784-5619-a706-d81a22fde108
9450bf6c-14cd-5d6c-ab91-bc335d5632d3|52fb65a3-7784-5619-a706-d81a22fde108
9450bf6c-14cd-5d6c-ab91-bc335d5632d3|9726b841-c12d-5529-9825-62dfb85e0ad6
2791ce86-3c33-5b5f-8618-5a466a5a6ad0|52fb65a3-7784-5619-a706-d81a22fde108
5acd9cab-7ca9-5a9a-bac1-6193de6bd1de|52fb65a3-7784-5619-a706-d81a22fde108
2bcb7b9a-c93b-55f4-ba89-edbd20ba3608|52fb65a3-7784-5619-a706-d81a22fde108
9d0c0739-6c12-5284-bf33-bba8163430c6|52fb65a3-7784-5619-a706-d81a22fde108
f4e88ee7-4961-5dad-ae32-6f5976edfc5e|52fb65a3-7784-5619-a706-d81a22fde108
fefdbdbf-f313-57da-bde8-657ae7d821d1|52fb65a3-7784-5619-a706-d81a22fde108
8bafb810-6b1e-5a25-b75d-d1da4d045c9e|52fb65a3-7784-5619-a706-d81a22fde108
a7ce7cbd-1a1d-57a5-97a0-4f1504eb533f|36f81dac-f33e-5ad7-9b21-f831176db6dc
62d01184-34eb-5026-91df-23ad60610137|89076307-1a7d-5a89-806d-b8e4f0992933
0b9ff581-bcdb-5d1d-8454-7d1c07a771a9|d1768946-ce98-5523-95b4-e3796a85ba96
c6e79c8f-5af5-5485-9f3e-c70403b38716|4b9633fd-1a45-5ef2-b79a-a6d8f04585ea
c6e79c8f-5af5-5485-9f3e-c70403b38716|145d47e0-ea89-541d-83bc-7bda4657cd55
df996b89-bf39-5f62-948e-e0a99977ecfd|52fb65a3-7784-5619-a706-d81a22fde108
70cb230d-59c6-5808-9723-ed3f3ca61ecf|a952998a-f358-5070-a0fd-118112b60df3
d2a50756-adbd-543f-9c40-7cdd0227a046|52fb65a3-7784-5619-a706-d81a22fde108
1e26986c-136c-577e-89f4-948133f5e822|52fb65a3-7784-5619-a706-d81a22fde108
ba2a98eb-3490-5117-804e-5551604d2320|52fb65a3-7784-5619-a706-d81a22fde108
cd0a9de0-6cf7-5c38-a884-1cbcd64ae751|538b8b34-d925-588b-bafd-53546b72f8e1
1527aba5-af6c-5d70-aff2-cafd5e0d9ffb|52fb65a3-7784-5619-a706-d81a22fde108
27b3cf95-fda1-5b13-b95c-0e2d9fb42f31|24829cd1-53eb-5acb-9945-2df76e90574c
3c838db5-92ce-5198-8ed7-f2b3eb56e639|89076307-1a7d-5a89-806d-b8e4f0992933
e9a7161d-1181-5d18-ac60-7c6474b08b8c|52fb65a3-7784-5619-a706-d81a22fde108
7d813974-b532-5e8e-9958-f16d014b7394|5bf73003-ef64-5a6a-860d-4614fe34dab8
1b09fe6d-87f2-56b5-8e62-592071956b7e|52fb65a3-7784-5619-a706-d81a22fde108
1b09fe6d-87f2-56b5-8e62-592071956b7e|ba2a98eb-3490-5117-804e-5551604d2320
3903e312-7d07-539a-b005-7ec5cecb18f7|27366fad-9d47-5b1a-bfa9-1b80ec201b04
3903e312-7d07-539a-b005-7ec5cecb18f7|52fb65a3-7784-5619-a706-d81a22fde108
4a974772-4ef2-5213-abe8-1e33b27db5bc|52fb65a3-7784-5619-a706-d81a22fde108
4a974772-4ef2-5213-abe8-1e33b27db5bc|7dd1957b-503b-5fa8-80f4-1e1b6d4c6e47
c5b84731-6c84-5e05-b620-6669e49b1e87|52fb65a3-7784-5619-a706-d81a22fde108
564e118b-f337-59ff-8713-5ddeb749c1c6|52fb65a3-7784-5619-a706-d81a22fde108
8edbdcdf-4274-5d2e-b32b-d8c2b7f8522d|52fb65a3-7784-5619-a706-d81a22fde108
fde5343b-4323-5a25-9876-0da8bc5b3cde|52fb65a3-7784-5619-a706-d81a22fde108
ebb21d36-ade1-557f-b334-5ecefe57e4c0|52fb65a3-7784-5619-a706-d81a22fde108
8b5ce57c-b966-5025-98aa-d95ecaf77bc9|52fb65a3-7784-5619-a706-d81a22fde108
8b5ce57c-b966-5025-98aa-d95ecaf77bc9|1b09fe6d-87f2-56b5-8e62-592071956b7e
257e68db-3eca-5c2b-a8dd-0670daf02e12|c66cb2fe-7102-5fac-af1f-56e6c79c3857
7e54bbdf-88ce-53c0-8367-06094a5634fe|94c4754c-9b1f-5b1b-81d2-b6d4e0ab30a0
cfaa7b1b-4126-524a-95f4-3c2822c16cee|c66cb2fe-7102-5fac-af1f-56e6c79c3857
66e0cb02-3b00-5cbc-b41f-6c5212805ea9|a257e631-8655-5cb4-9a54-d897e9c2dc1d
66e0cb02-3b00-5cbc-b41f-6c5212805ea9|38182372-23ae-576e-ad5c-27f1471c1906
d436e361-c342-5385-89ca-26ec4f7b2df3|145d47e0-ea89-541d-83bc-7bda4657cd55
76e7ed9d-2494-5e0a-850c-24332e5ee091|1ffa5786-41c7-5035-84be-cfe1e6817ac0
4380ff2f-67d6-5496-8247-a245230181f1|52fb65a3-7784-5619-a706-d81a22fde108
d2774905-d542-5d0e-bdf5-141b9a9b133e|52fb65a3-7784-5619-a706-d81a22fde108
d2774905-d542-5d0e-bdf5-141b9a9b133e|ba2a98eb-3490-5117-804e-5551604d2320
85852c3f-c175-5812-ba30-ee301cf631cc|52fb65a3-7784-5619-a706-d81a22fde108
c56515e5-d741-50d1-8e98-0247488ea450|8f8af34d-8dae-54e0-be9b-5baef36fcf89
c56515e5-d741-50d1-8e98-0247488ea450|538b8b34-d925-588b-bafd-53546b72f8e1
debd9eec-503a-523a-80e4-15410a2d6edb|852cfead-950f-5ce7-8e9f-7b6b53f1b596
9aa4635f-0dc5-52fc-b96d-4f38d9da04d2|a952998a-f358-5070-a0fd-118112b60df3
e6914436-38aa-58ff-8928-28c94b011892|52fb65a3-7784-5619-a706-d81a22fde108
