id|name|description
7dd64307-dbd4-533f-a2d1-b94e2cd2d36b|On-Demand Shuffling Technique|The on-demand shuffling technique is a method for efficient graph dynamics processing that stores the edges of the data graph in a distributed database and queries the database as needed during enumeration, thereby avoiding the need to shuffle the entire data graph before processing. This technique is different from existing approaches in that it only queries the necessary parts of the data graph, reducing the amount of data that needs to be shuffled and processed. This is achieved through the use of a distributed key-value database that allows for efficient querying of the data graph. The paper does not provide specific results for this solution, but it is mentioned as a key component of the BENU framework.
9c3094af-612a-5054-95bf-4eeb16fa4b15|Triangle Cache Technique|The triangle cache technique is a method for reducing the redundancy in the enumeration process by caching the results of frequent subgraph queries, such as triangles. This technique is different from existing approaches in that it uses a cache to store the results of frequent subgraph queries, reducing the need to recompute these results during the enumeration process. The paper reports that the triangle cache technique can significantly reduce the communication cost and execution time of the BENU framework.
32545439-d5a9-533d-9b41-fa0fc5274da1|Task Splitting Technique|The task splitting technique is a method for balancing the workloads of local search tasks by splitting heavy tasks into smaller subtasks. This technique is different from existing approaches in that it uses a threshold-based approach to split tasks into smaller subtasks, reducing the skewness of the workloads and improving the overall performance of the BENU framework. The paper reports that the task splitting technique can improve the execution time of the BENU framework by up to 10 times.
a015b20e-d63c-56c2-a6f0-fad0c8eb9abf|Local Database Cache Technique|The local database cache technique is a method for reducing the communication cost of the BENU framework by caching the adjacency sets of the data graph on each machine. This technique is different from existing approaches in that it uses a cache to store the adjacency sets of the data graph, reducing the need to query the distributed database during the enumeration process. The paper reports that the local database cache technique can significantly reduce the communication cost and execution time of the BENU framework.
d9a3aa25-e33b-5dad-ba54-29d43f6924e9|Local Database Cache|The authors propose a local database cache to store the adjacency sets fetched from the distributed database. This cache captures the intra-task locality by storing frequently accessed adjacency sets, reducing the need for repeated queries and minimizing communication costs.
69546870-eaf0-54dd-827c-3427105a8a83|Task Splitting|The authors propose a task splitting technique to handle the skewed workloads of local search tasks brought by the power-law degree distribution in real-world data graphs. This technique splits tasks into smaller subtasks, reducing the workload imbalance and minimizing communication costs.
667214b7-11c5-514f-837c-139e4a5b7b4b|Triangle Cache|The authors propose a triangle cache to store the results of triangle enumeration, reducing the number of database queries and minimizing communication costs.
bbd127b3-e323-50dc-96d7-ac6e826a9228|On-Demand Shuffling|The authors propose an on-demand shuffling technique, which stores the edges of the data graph in a distributed database and queries the database as needed during enumeration. This approach minimizes communication costs by only querying necessary parts of the data graph.
251cf2d8-5e82-5809-9ee1-eeaad0043eb5|Execution Plan Optimization|The execution plan optimization is proposed to reduce the execution cost by optimizing the execution plan.
9552912a-4059-512a-b763-a63ac86316e2|Symmetric Rectilinear Partitioning|The authors propose a symmetric rectilinear partitioning strategy to optimize GPU memory access for graph processing. This approach partitions the graph into blocks with matching source and destination vertex IDs, reducing unnecessary data movement and improving memory utilization.
d2b73443-d559-5022-a6b4-6d425a64da01|Block-Based Task Composition|The authors propose a block-based task composition approach to optimize GPU memory access for graph processing. This approach divides the computation into tasks, each depending on three blocks where edges of a triangle can appear, allowing for more efficient memory access patterns.
5bb12fa2-b5b1-5093-b515-8eecec120a31|Dynamic Task Scheduling|The authors propose a dynamic task scheduling approach to optimize GPU memory access for graph processing. This approach schedules tasks on multi-core CPUs and multiple streams on multiple GPUs, allowing for more efficient memory access patterns.
317e8fe8-898e-5cb5-89ab-8651224274f5|Estimation-Based Task Ordering|The authors propose an estimation-based task ordering approach to optimize GPU memory access for graph processing. This approach orders tasks based on their estimated execution time, allowing for more efficient memory access patterns.
