"__src_domain__","__src_entity_type__","__src_entity_id__","__relation_type__","__dest_domain__","__dest_entity_type__","__dest_entity_id__"
"acs","acs.k8s.replicaset","ad6e116cb47639205338e9dcd783b626","related_to","acs","acs.k8s.deployment","b2bd58c18a514d0dd77eb4155fa79580"
"acs","acs.k8s.replicaset","7ae4244958c922e1b5e94210eb2ae339","related_to","acs","acs.k8s.deployment","aa9cf9e978e752b14a6289cbb3162de5"
"acs","acs.k8s.replicaset","d8ee9f6231698e5c47643665375e7fa8","related_to","acs","acs.k8s.deployment","0de2b6bff01e893093766111cdc3668e"
"acs","acs.k8s.replicaset","8c98062334ef61e86fe72827d07b8e5a","runs","acs","acs.ack.cluster","6efd0e6e39181c7bda85a69af5a8fff2"
"acs","acs.k8s.replicaset","acd291c732d6cab854c7b6831eb93004","runs","acs","acs.ack.cluster","6efd0e6e39181c7bda85a69af5a8fff2"
"acs","acs.k8s.daemonset","a5966f34e76b95bc7733f911d27565c8","runs","acs","acs.ack.cluster","6efd0e6e39181c7bda85a69af5a8fff2"
"acs","acs.k8s.configmap","397975e3c8ea9ca3224a7148358cecf4","runs","acs","acs.ack.cluster","6efd0e6e39181c7bda85a69af5a8fff2"
"acs","acs.k8s.configmap","2975aab3a1c4a07ac69132873ac8bf9c","runs","acs","acs.ack.cluster","6efd0e6e39181c7bda85a69af5a8fff2"
"acs","acs.k8s.replicaset","1bd99abe80f693685e2ec846a69bb4e6","runs","acs","acs.ack.cluster","6efd0e6e39181c7bda85a69af5a8fff2"
"acs","acs.k8s.replicaset","812e6a59e425e2383ab8219005c6b6c4","runs","acs","acs.ack.cluster","6efd0e6e39181c7bda85a69af5a8fff2"
"acs","acs.k8s.service","e9bff41c7c74e49cf65cc54dd4a7497a","runs","acs","acs.ack.cluster","6efd0e6e39181c7bda85a69af5a8fff2"
"acs","acs.k8s.service","06d0c1589d53b25c40ec550ad046160f","runs","acs","acs.ack.cluster","6efd0e6e39181c7bda85a69af5a8fff2"
"acs","acs.k8s.cronjob","5336f40cb3843c9c26e6a83f75650ec2","runs","acs","acs.ack.cluster","6efd0e6e39181c7bda85a69af5a8fff2"
"app","app.service","40801A0D6B67BD62BB2A93C6556A2363","contains","app","app.operation","72D8AE9F49C0DE795BC2B28B75961122"
"app","app.service","F714597F7005B07B610DD3DE93E529D1","contains","app","app.operation","6C30D73DB5DED1F0DC0C6648502A2C89"
"acs","acs.vpc.vswitch","1032e18f9f8c29690eb4275970a1cb16","contains","acs","acs.ecs.instance","fb18aa67459ab01e4b53a280bfdf3f37"
"acs","acs.vpc.vswitch","78dfd0a43dcbdcd7d51430f5f97e668f","contains","acs","acs.ecs.instance","3a07a3745cef9dac710212f5cf56f337"
"acs","acs.vpc.vpc","dc24c5fe230fbb34223d06200963c8b4","contains","acs","acs.ecs.instance","6b98ab8b0a9d78c4d24ae9df6ef21efb"
"acs","acs.vpc.vswitch","4de2798ac468108bcba4c6fd68a383ef","contains","acs","acs.ecs.instance","14d81167ecf9553aa9fb66be6c6e6917"
"acs","acs.vpc.vpc","6a0c3938d081110ee0809e970fe755ad","contains","acs","acs.ecs.instance","5e2e80288fed4c481f26aeb5542ca420"
"acs","acs.vpc.vswitch","02261377df15448ee08298b87e9b0f1e","contains","acs","acs.ecs.instance","e8402adb2a98ff8cf8b2a329fc27eaaf"
"acs","acs.vpc.vswitch","55ca649fa29419426062f932566219ae","contains","acs","acs.ecs.instance","06dab74c0c7bef41dcae0ceadc33a110"
"acs","acs.slb.loadbalancer","3f37bbdab72d4347c98041de0ad18507","contains","acs","acs.slb.vservergroup","649fe54efbe7cd7dbb667ec7d3a46ee6"
"acs","acs.slb.loadbalancer","c559d28ceedcf86716ec3a1f414db821","contains","acs","acs.slb.vservergroup","42130e7479984ac2d39c9adda2035388"
"acs","acs.slb.loadbalancer","c8606a91828bf1170361ce712c8c811f","contains","acs","acs.slb.vservergroup","53ae6aed5e4be9a343cb010193f0cfd1"
"acs","acs.sls.project","41cfcc4e48fe16220128ec5d8657f420","contains","acs","acs.sls.logstore","cbe7126460db6c615db953fca5ce4281"
"acs","acs.sls.project","7169357c6e00457b74965fb49fa90bc0","contains","acs","acs.sls.logstore","0e05f0fd1d48f2a510c1b7a2600b2b7c"
"acs","acs.sls.project","d94298383c1dd7781cb41fc028b6b575","contains","acs","acs.sls.logstore","e98ff2035c40c3a37036b36264a5b665"
"acs","acs.sls.project","d94298383c1dd7781cb41fc028b6b575","contains","acs","acs.sls.logstore","42f2656e2a3505cbef7a8d5b4f86a6d9"
"acs","acs.sls.project","16372651e82d469c1ccd3c43cada6b97","contains","acs","acs.sls.logstore","b3fb81f6d7b07e074edd5316a9dd4767"
"acs","acs.sls.project","13b0049cc52c22233450a1eac78c5f7f","contains","acs","acs.sls.logstore","75732e24a2242600f53c8aa9df71df3c"
"acs","acs.sls.project","e193565c365c1265f316ad9aeef94ccb","contains","acs","acs.sls.logstore","1f8d0cd28c11f3ce53eb2c23eb6d48c9"
"acs","acs.sls.project","2772f3d9d036f2c19119fc6011add32c","contains","acs","acs.sls.logstore","9e45fc735effaeb603fc0ddbdc72964b"
"acs","acs.sls.project","0b827e3426d24fff6c1887f12eff9d77","contains","acs","acs.sls.logstore","0ca6c6a543459e98db3fcc0b02c7102c"
"acs","acs.sls.project","3c4ed4300befcdc055f525d9aaea768c","contains","acs","acs.sls.logstore","adffb706b0cc69a56cb3bba847a05579"
"acs","acs.sls.project","3c4ed4300befcdc055f525d9aaea768c","contains","acs","acs.sls.logstore","bc7d95dbf61b2e2496b7fc0fcd74fc7b"
"acs","acs.sls.project","5411c07007c15380c4fc68ed969c84d1","contains","acs","acs.sls.logstore","e077867ab1ef78536dac5662e77b444b"
"acs","acs.sls.project","5411c07007c15380c4fc68ed969c84d1","contains","acs","acs.sls.logstore","72d2797c1cf2237cacaef02f04961bb3"
"acs","acs.sls.project","fec5579adabf90564ec261651f94a977","contains","acs","acs.sls.logstore","0852a5acfd966406275f2b984f0d81b0"
"acs","acs.sls.project","5ddc9685e74f02a2edaf7a2ac62fe62a","contains","acs","acs.sls.logstore","35b3d96c624cad51c3c0cbbbb5a07f67"
"acs","acs.sls.project","ba6c47ce8c6bebe455521e93ce272546","contains","acs","acs.sls.logstore","dc8e8c261e57a9ece016bde66cd4085e"
"acs","acs.sls.project","4535eec06d51f2eb0550da690068e60b","contains","acs","acs.sls.logstore","123ecf84b04b979309446edf09a6aad7"
"acs","acs.sls.project","1fbe0f33a00bfa560c8c57e6b00bcd8e","contains","acs","acs.sls.logstore","47ff2bdd7e17d0e2790589ebd5b39197"
"acs","acs.sls.project","c8eb65935be28db23fc541e4dc4d7cd5","contains","acs","acs.sls.logstore","888686dddb068907b7d86e1ad00fa893"
